1,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.05"
1.1,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.10
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.15"
1.2,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.20
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.25"
1.3,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.30
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.35"
1.4,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.40
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.45"
1.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.55"
1.6,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.60
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.65"
1.7,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.70
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.75"
1.8,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.80
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.85"
1.9,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.90
pwtbst:1 AND pwtplt:inapp AND pwtpb: 1.95"
2,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.05"
2.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 2.55"
3,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 3.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 3.05"
3.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 3.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 3.55"
4,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 4.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 4.05"
4.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 4.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 4.55"
5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 5.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 5.10"
5.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 5.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 5.60"
6,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 6.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 6.10"
6.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 6.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 6.60"
7,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 7.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 7.10"
7.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 7.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 7.60"
8,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 8.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 8.10"
8.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 8.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 8.60"
9,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 9.00
pwtbst:1 AND pwtplt:inapp AND pwtpb: 9.10"
9.5,"pwtbst:1 AND pwtplt:inapp AND pwtpb: 9.50
pwtbst:1 AND pwtplt:inapp AND pwtpb: 9.60"
